	A_1_A	A_2_A	A_3_A	A_4_A	A_5_A	A_6_A	A4_1_A	A4_2_A	A4_3_A	A4_4_A	A4_5_A	A4_6_A	A6_1_A	A6_2_A	A6_3_A	A6_4_A	A6_5_A	A6_6_A	AM_1_A	AM_2_A	AM_3_A	AM_4_A	AM_5_A	AM_6_A	W_1_A	W_2_A	W_3_A	W_4_A	W_5_A	W_6_A
OTU_14548	38	4	7	7	8	66	236	142	183	141	148	203	853	907	1107	991	1103	1167	825	625	846	381	867	780	8	6	82	14	14	24
OTU_9932	386	899	1625	750	622	638	502	156	209	157	31	225	112	103	198	127	139	179	92	158	312	38	153	428	109	722	557	901	1054	1255
OTU_8422	76	34	136	29	115	157	950	1287	367	542	1015	1584	265	208	68	191	309	315	311	1372	559	149	539	511	122	196	58	104	166	98
OTU_1120	1541	308	325	148	198	255	326	152	274	159	425	1339	879	236	288	331	282	188	113	114	34	1452	213	201	726	153	371	329	205	561
OTU_1598	235	16	149	20	1265	489	527	364	288	272	299	155	823	542	471	815	461	509	239	56	15	271	100	94	1399	485	222	85	962	516
OTU_14533	39	6	7	18	13	58	359	199	236	181	179	317	673	717	989	855	943	948	807	653	881	379	880	775	28	20	65	18	17	43
OTU_6119	42	16	10	23	32	63	573	337	369	303	365	554	644	675	897	763	872	872	677	539	708	438	747	635	25	38	54	13	64	59
OTU_6425	968	621	54	1308	1564	501	419	461	413	746	463	259	17	6	12	15	16	17	66	45	59	130	54	64	830	1359	1346	46	426	31
OTU_14711	74	21	11	29	25	66	196	124	116	93	100	236	718	756	1050	847	953	941	861	715	889	395	960	837	13	45	104	46	25	48
OTU_8586	1700	594	784	287	1343	123	15	25	11	10	6	30	26	30	31	32	31	33	37	37	47	20	30	37	1101	531	1645	1965	1001	1059
OTU_10889	64	77	67	49	74	76	622	730	702	812	721	532	494	572	504	535	463	484	500	491	542	587	495	499	29	76	219	149	87	108
OTU_1644	32	190	228	8	2601	99	140	172	351	138	210	102	62	29	16	63	24	28	220	35	29	95	48	71	278	412	849	1224	1837	2696
OTU_1727	488	1491	140	91	543	85	227	171	270	135	398	321	85	54	30	81	47	39	845	675	198	2363	844	1423	56	23	35	22	48	62
OTU_11799	1186	789	641	1520	1667	1685	34	51	17	75	28	20	69	68	13	41	39	29	7	8	10	8	8	5	628	382	1162	1005	218	811
OTU_2359	361	215	126	53	98	134	177	188	178	281	357	578	378	323	272	459	515	279	351	299	270	3533	341	384	316	207	90	163	159	162
OTU_11130	550	2029	406	1649	143	257	161	241	233	275	223	168	154	157	145	153	114	130	124	143	127	161	119	124	268	125	142	2631	361	202
OTU_14587	1694	231	984	1363	344	137	83	36	45	33	28	119	16	21	31	26	32	28	27	22	34	28	88	24	2546	768	52	1974	679	124
OTU_1082	303	580	99	130	118	49	267	178	273	170	1570	1251	455	140	74	183	82	47	70	63	35	1344	40	259	2237	360	22	149	276	131
OTU_19	892	824	1213	9	106	668	222	142	154	127	191	245	223	40	24	57	57	77	364	256	289	217	380	455	1915	155	104	38	1380	169
OTU_14561	39	3	5	8	4	50	464	215	290	224	268	587	572	632	803	704	765	775	722	540	739	303	733	682	12	10	35	10	7	9
OTU_11202	428	318	744	366	612	303	274	318	308	319	316	237	180	196	180	203	168	167	178	218	193	237	195	190	543	684	571	965	404	984
OTU_1087	297	571	99	124	118	42	261	168	240	153	1422	1212	385	134	65	152	76	40	88	56	35	1292	48	270	2341	347	24	158	265	145
OTU_8390	689	611	576	932	570	618	1	1	3	4	10	6	28	20	2	18	9	4	64	22	15	19	12	4	2844	320	1661	624	724	777
OTU_8542	410	147	248	96	400	176	705	164	150	339	35	2268	1367	123	176	210	212	213	210	198	297	86	499	509	40	206	181	212	388	134
OTU_8314	810	421	855	625	572	707	37	31	16	16	21	37	51	40	9	26	17	17	102	56	36	52	37	59	1841	652	1313	651	983	939
OTU_14588	138	35	27	40	33	280	423	177	210	167	168	467	572	558	776	649	726	734	598	476	617	266	703	534	26	57	71	65	37	64
OTU_3529	184	378	493	85	188	177	53	46	45	17	3	49	5	14	9	9	11	17	7	22	79	1	8	15	184	6208	431	844	1124	177
OTU_8659	1472	520	668	231	1214	26	4	1	1	1	4	1	0	0	0	1	0	0	2	1	1	1	1	0	813	447	1541	1843	957	893
OTU_10510	116	72	60	107	133	67	632	2458	32	344	49	45	1279	632	831	295	581	620	12	213	97	34	13	220	81	345	52	43	61	70
OTU_7590	241	259	313	355	253	254	184	189	175	178	132	245	273	321	443	363	376	405	358	362	413	192	366	371	139	925	391	366	610	438
OTU_2	423	451	812	687	175	460	160	153	143	149	58	235	50	38	29	22	38	60	111	131	166	67	111	153	431	1005	1028	576	1183	1212
OTU_10359	577	566	359	669	850	483	33	71	59	45	19	40	62	1084	33	147	110	59	45	64	71	23	58	42	1145	1657	251	324	569	627
OTU_14994	139	209	211	237	169	215	275	251	229	277	115	397	286	282	431	348	309	587	314	332	353	177	351	305	118	920	429	381	516	606
